国家,2019年国际排名,2019亚洲杯,2015亚洲杯
中国,73,8,7
日本,60,2,5
韩国,61,6,2
伊朗,34,3,6
沙特,67,15,10
伊拉克,91,14,4
卡塔尔,101,1,13
阿联酋,81,4,6
乌兹别克斯坦,88,10,8
泰国,122,13,17
越南,102,7,17
阿曼,87,16,12
巴林,116,12,11
朝鲜,110,24,14
澳洲,40,5,1
叙利亚,76,20,17
约旦,118,9,9
巴勒斯坦,96,18,16
